Model,Prediction variant,Threshold,Accuracy,Balanced Accuracy,Precision,Recall (Sensitivity),Specificity,F1-score,ROC-AUC,PR-AUC,TN,FP,FN,TP
Logistic Regression,CV-selected threshold,0.3449999999999999,0.7402597402597403,0.7340785907859078,0.723404255319149,0.8292682926829268,0.6388888888888888,0.7727272727272727,0.8574977416440831,0.8876716837802708,69,39,21,102
Logistic Regression,Default threshold,0.5,0.7575757575757576,0.7633242999096658,0.8383838383838383,0.6747967479674797,0.8518518518518519,0.7477477477477478,0.8574977416440831,0.8876716837802708,92,16,40,83
HistGradientBoosting,CV-selected threshold,0.31999999999999995,0.6277056277056277,0.6097560975609756,0.6022099447513812,0.8861788617886179,0.3333333333333333,0.7171052631578947,0.7408912978018669,0.7992518000565402,36,72,14,109
HistGradientBoosting,Default threshold,0.5,0.658008658008658,0.6596657633242999,0.6964285714285714,0.6341463414634146,0.6851851851851852,0.6638297872340425,0.7408912978018669,0.7992518000565402,74,34,45,78
SVM,CV-selected threshold,0.37999999999999995,0.645021645021645,0.6333559168925023,0.6289308176100629,0.8130081300813008,0.4537037037037037,0.7092198581560284,0.7205660945498343,0.7500952289962697,49,59,23,100
SVM,Default threshold,0.5,0.6536796536796536,0.653906955736224,0.6837606837606838,0.6504065040650406,0.6574074074074074,0.6666666666666666,0.7205660945498343,0.7500952289962697,71,37,43,80
Random Forest,CV-selected threshold,0.31499999999999995,0.5497835497835498,0.5258581752484192,0.5472636815920398,0.8943089430894309,0.1574074074074074,0.6790123456790124,0.7179313459801264,0.7883620496937525,17,91,13,110
Random Forest,Default threshold,0.5,0.6623376623376623,0.6733288166214995,0.7848101265822784,0.5040650406504065,0.8425925925925926,0.6138613861386139,0.7179313459801264,0.7883620496937525,91,17,61,62
