Threshold,Precision,Recall,F1-score,Balanced Accuracy
0.05,0.5304347826086957,1.0,0.6931818181818182,0.5
0.055,0.5304347826086957,1.0,0.6931818181818182,0.5
0.06,0.5304347826086957,1.0,0.6931818181818182,0.5
0.065,0.5304347826086957,1.0,0.6931818181818182,0.5
0.07,0.529923830250272,0.9979508196721312,0.6922530206112296,0.4989754098360656
0.075,0.529923830250272,0.9979508196721312,0.6922530206112296,0.4989754098360656
0.08,0.529923830250272,0.9979508196721312,0.6922530206112296,0.4989754098360656
0.08499999999999999,0.529923830250272,0.9979508196721312,0.6922530206112296,0.4989754098360656
0.09,0.529923830250272,0.9979508196721312,0.6922530206112296,0.4989754098360656
0.095,0.529923830250272,0.9979508196721312,0.6922530206112296,0.4989754098360656
0.09999999999999999,0.529923830250272,0.9979508196721312,0.6922530206112296,0.4989754098360656
0.105,0.529923830250272,0.9979508196721312,0.6922530206112296,0.4989754098360656
0.10999999999999999,0.529923830250272,0.9979508196721312,0.6922530206112296,0.4989754098360656
0.11499999999999999,0.529923830250272,0.9979508196721312,0.6922530206112296,0.4989754098360656
0.12,0.529923830250272,0.9979508196721312,0.6922530206112296,0.4989754098360656
0.12499999999999999,0.5305010893246187,0.9979508196721312,0.6927453769559033,0.500132817243473
0.13,0.5305010893246187,0.9979508196721312,0.6927453769559033,0.500132817243473
0.135,0.5305010893246187,0.9979508196721312,0.6927453769559033,0.500132817243473
0.13999999999999999,0.5310796074154853,0.9979508196721312,0.6932384341637011,0.5012902246508804
0.145,0.5310796074154853,0.9979508196721312,0.6932384341637011,0.5012902246508804
0.14999999999999997,0.5305676855895196,0.9959016393442623,0.6923076923076923,0.5002656344869459
0.15499999999999997,0.5305676855895196,0.9959016393442623,0.6923076923076923,0.5002656344869459
0.15999999999999998,0.5305676855895196,0.9959016393442623,0.6923076923076923,0.5002656344869459
0.16499999999999998,0.5300546448087432,0.9938524590163934,0.6913756236635781,0.49924104432301153
0.16999999999999998,0.5306345733041575,0.9938524590163934,0.6918687589158345,0.500398451730419
0.175,0.5306345733041575,0.9938524590163934,0.6918687589158345,0.500398451730419
0.18,0.5317982456140351,0.9938524590163934,0.6928571428571428,0.5027132665452337
0.185,0.5317982456140351,0.9938524590163934,0.6928571428571428,0.5027132665452337
0.19,0.5317982456140351,0.9938524590163934,0.6928571428571428,0.5027132665452337
0.195,0.5317982456140351,0.9938524590163934,0.6928571428571428,0.5027132665452337
0.19999999999999996,0.5317982456140351,0.9938524590163934,0.6928571428571428,0.5027132665452337
0.20499999999999996,0.5324532453245324,0.9918032786885246,0.6929133858267716,0.5040034911961141
0.20999999999999996,0.5330396475770925,0.9918032786885246,0.6934097421203438,0.5051608986035215
0.21499999999999997,0.5330396475770925,0.9918032786885246,0.6934097421203438,0.5051608986035215
0.21999999999999997,0.5331858407079646,0.9877049180327869,0.6925287356321839,0.5054265330904676
0.22499999999999998,0.5349611542730299,0.9877049180327869,0.6940244780417567,0.5088987553126898
0.22999999999999998,0.5344444444444445,0.985655737704918,0.6930835734870316,0.5078741651487553
0.235,0.5357142857142857,0.9836065573770492,0.6936416184971098,0.5103217972070431
0.24,0.5363941769316909,0.9815573770491803,0.6937002172338885,0.5116120218579235
0.245,0.5382882882882883,0.9795081967213115,0.6947674418604651,0.5152170613236187
0.24999999999999994,0.5372460496613995,0.9754098360655737,0.6928675400291121,0.5131678809957498
0.25499999999999995,0.5384615384615384,0.9754098360655737,0.6938775510204082,0.5154826958105646
0.25999999999999995,0.5416191562143672,0.9733606557377049,0.6959706959706959,0.5214025500910747
0.26499999999999996,0.5428571428571428,0.9733606557377049,0.6969919295671313,0.5237173649058895
0.26999999999999996,0.5449308755760369,0.9692622950819673,0.6976401179941003,0.5274552216150578
0.27499999999999997,0.5470383275261324,0.9651639344262295,0.698295033358043,0.5311930783242259
0.27999999999999997,0.5460910151691949,0.9590163934426229,0.695910780669145,0.52927671523983
0.285,0.5473684210526316,0.9590163934426229,0.6969471332836932,0.5315915300546448
0.29,0.5495283018867925,0.9549180327868853,0.6976047904191617,0.535329386763813
0.295,0.5567502986857825,0.9549180327868853,0.7033962264150944,0.5480608682452944
0.3,0.5603864734299517,0.9508196721311475,0.7051671732522796,0.5541135397692775
0.30499999999999994,0.5634146341463414,0.9467213114754098,0.7064220183486238,0.5590088038858531
0.30999999999999994,0.5666666666666667,0.9405737704918032,0.7072419106317411,0.5640368852459017
0.31499999999999995,0.5732165206508135,0.9385245901639344,0.7117327117327117,0.5745863691560413
0.31999999999999995,0.5829081632653061,0.9364754098360656,0.7185534591194969,0.5897654826958105
0.32499999999999996,0.58656330749354,0.930327868852459,0.7194928684627575,0.5947935640558591
0.32999999999999996,0.5897771952817824,0.9221311475409836,0.7194244604316546,0.5987970552519732
0.33499999999999996,0.5941644562334217,0.9180327868852459,0.7214170692431562,0.6048497267759563
0.33999999999999997,0.601078167115903,0.9139344262295082,0.7252032520325203,0.6143746205221615
0.3449999999999999,0.6041095890410959,0.9036885245901639,0.7241379310344828,0.6173535215543412
0.3499999999999999,0.6094839609483961,0.8954918032786885,0.725311203319502,0.6236718275652702
0.3549999999999999,0.6096181046676096,0.8831967213114754,0.7213389121338912,0.6221539162112932
0.35999999999999993,0.6137339055793991,0.8790983606557377,0.7228306655433867,0.6270491803278688
0.36499999999999994,0.622093023255814,0.8770491803278688,0.7278911564625851,0.6375986642380085
0.36999999999999994,0.6301775147928994,0.8729508196721312,0.7319587628865979,0.6471235579842137
0.37499999999999994,0.6341829085457271,0.8668032786885246,0.7324675324675325,0.6509942319368549
0.37999999999999995,0.6402439024390244,0.860655737704918,0.7342657342657343,0.6571797207043109
0.38499999999999995,0.6439628482972136,0.8524590163934426,0.7336860670194003,0.6600258044930176
0.38999999999999996,0.6473354231974922,0.8463114754098361,0.7335701598579041,0.6627390710382514
0.39499999999999996,0.6612903225806451,0.8401639344262295,0.740072202166065,0.6770264116575592
0.3999999999999999,0.6633499170812603,0.819672131147541,0.7332722273143905,0.6748823618700668
0.4049999999999999,0.6694915254237288,0.8094262295081968,0.7328385899814471,0.6790186703096539
0.4099999999999999,0.6765734265734266,0.7930327868852459,0.730188679245283,0.6823960230722526
0.4149999999999999,0.6827956989247311,0.7807377049180327,0.7284894837476099,0.6855077413479053
0.41999999999999993,0.6885245901639344,0.7745901639344263,0.7290260366441659,0.6893784153005464
0.42499999999999993,0.6884328358208955,0.7561475409836066,0.720703125,0.6847867334547663
0.42999999999999994,0.6946564885496184,0.7459016393442623,0.7193675889328063,0.687765634486946
0.43499999999999994,0.701171875,0.735655737704918,0.718,0.6907445355191257
0.43999999999999995,0.7137096774193549,0.7254098360655737,0.7195121951219512,0.698353066180935
0.44499999999999995,0.7148760330578512,0.7090163934426229,0.7119341563786008,0.6947859744990892
0.4499999999999999,0.7262931034482759,0.6905737704918032,0.707983193277311,0.6982961445051609
0.4549999999999999,0.7330415754923414,0.6864754098360656,0.708994708994709,0.7020340012143291
0.4599999999999999,0.734375,0.6741803278688525,0.7029914529914529,0.6993586824529447
0.4649999999999999,0.740909090909091,0.6680327868852459,0.7025862068965517,0.7020719489981786
0.4699999999999999,0.7447306791569087,0.6516393442622951,0.6950819672131148,0.6996622647237402
0.4749999999999999,0.7518248175182481,0.6331967213114754,0.6874304783092324,0.6985428051001821
0.4799999999999999,0.7661691542288557,0.6311475409836066,0.6921348314606741,0.7067774741955071
0.48499999999999993,0.7690355329949239,0.6209016393442623,0.6870748299319728,0.7051267455980571
0.48999999999999994,0.7763496143958869,0.6188524590163934,0.6887115165336374,0.7087317850637522
0.49499999999999994,0.781578947368421,0.6086065573770492,0.684331797235023,0.7082384638737098
0.49999999999999994,0.7834224598930482,0.6004098360655737,0.679814385150812,0.7064549180327868
0.5049999999999999,0.7929155313351499,0.5963114754098361,0.6807017543859649,0.7101927747419551
0.5099999999999999,0.7944444444444444,0.5860655737704918,0.6745283018867925,0.7073846387370978
