Threshold,Precision,Recall,F1-score,Balanced Accuracy
0.05,0.5350877192982456,1.0,0.6971428571428572,0.5092592592592593
0.055,0.5375275938189845,0.9979508196721312,0.6987087517934003,0.5140217061323619
0.06,0.54,0.9959016393442623,0.7002881844380403,0.5187841530054645
0.065,0.5426008968609866,0.9918032786885246,0.7014492753623188,0.52367941712204
0.07,0.5445321307779031,0.9897540983606558,0.7025454545454546,0.5272844565877353
0.075,0.5445205479452054,0.9774590163934426,0.6994134897360704,0.5269239526411658
0.08,0.5491329479768786,0.9733606557377049,0.7021433850702143,0.5352914389799636
0.08499999999999999,0.5480093676814989,0.9590163934426229,0.6974664679582713,0.5327489374620522
0.09,0.5477326968973747,0.9405737704918032,0.6923076923076923,0.5316294778384942
0.095,0.551219512195122,0.9262295081967213,0.691131498470948,0.5371888281724347
0.09999999999999999,0.5594936708860759,0.9057377049180327,0.6917057902973396,0.5500910746812386
0.105,0.5633986928104575,0.8831967213114754,0.6879489225857941,0.5550242865816637
0.10999999999999999,0.570281124497992,0.8729508196721312,0.6898785425101215,0.5649476320582878
0.11499999999999999,0.5763411279229711,0.8586065573770492,0.6897119341563785,0.5728217972070431
0.12,0.5774647887323944,0.8401639344262295,0.6844741235392321,0.5728597449908925
0.12499999999999999,0.5790229885057471,0.8258196721311475,0.6807432432432432,0.5737894656952034
0.13,0.5850439882697948,0.8176229508196722,0.6820512820512821,0.5812651791135398
0.135,0.5925373134328358,0.8135245901639344,0.6856649395509499,0.590790072859745
0.13999999999999999,0.5996932515337423,0.8012295081967213,0.6859649122807018,0.5985314207650273
0.145,0.603448275862069,0.7889344262295082,0.6838365896980462,0.60164313904068
0.14999999999999997,0.608346709470305,0.7766393442622951,0.6822682268226823,0.6059122647237402
0.15499999999999997,0.6167763157894737,0.7684426229508197,0.6843065693430657,0.6145453855494839
0.15999999999999998,0.6169491525423729,0.7459016393442623,0.6753246753246753,0.6113767455980571
0.16499999999999998,0.6208695652173913,0.7315573770491803,0.6716839134524929,0.6134638737097753
0.16999999999999998,0.6261022927689595,0.7274590163934426,0.6729857819905213,0.6183591378263509
0.175,0.6345454545454545,0.7151639344262295,0.6724470134874759,0.6249430783242258
0.18,0.6394052044609665,0.7049180327868853,0.6705653021442495,0.6279219793564056
0.185,0.6432637571157496,0.694672131147541,0.6679802955665025,0.6297434729811779
0.19,0.6460348162475822,0.6844262295081968,0.6646766169154229,0.6304075591985427
0.195,0.6565656565656566,0.6659836065573771,0.6612410986775178,0.6362325440194293
0.19999999999999996,0.6570247933884298,0.6516393442622951,0.654320987654321,0.633690042501518
0.20499999999999996,0.6610526315789473,0.6434426229508197,0.652128764278297,0.6353787188828173
0.20999999999999996,0.6688172043010753,0.6372950819672131,0.6526757607555089,0.6404068002428658
0.21499999999999997,0.6732456140350878,0.6290983606557377,0.6504237288135594,0.6420954766241651
0.21999999999999997,0.6777777777777778,0.625,0.650319829424307,0.6446759259259259
0.22499999999999998,0.680365296803653,0.610655737704918,0.6436285097192225,0.643290831815422
0.22999999999999998,0.6867749419953596,0.6065573770491803,0.6441784548422198,0.6470286885245902
0.235,0.687793427230047,0.6004098360655737,0.6411378555798687,0.6462697328476017
0.24,0.6895734597156398,0.5963114754098361,0.6395604395604395,0.6465353673345478
0.245,0.6958637469586375,0.5860655737704918,0.6362625139043382,0.64835686095932
0.24999999999999994,0.693069306930693,0.5737704918032787,0.6278026905829597,0.6433667273831207
0.25499999999999995,0.6992481203007519,0.5717213114754098,0.629086809470124,0.646971766848816
0.25999999999999995,0.7135416666666666,0.5614754098360656,0.6284403669724771,0.653422890103218
0.26499999999999996,0.7157894736842105,0.5573770491803278,0.6267281105990783,0.6536885245901639
0.26999999999999996,0.7146666666666667,0.5491803278688525,0.6210892236384704,0.6507475713418336
0.27499999999999997,0.7240437158469946,0.5430327868852459,0.6206088992974239,0.6546182452944749
0.27999999999999997,0.7313019390581718,0.5409836065573771,0.6219081272084805,0.65822328476017
0.285,0.7344632768361582,0.5327868852459017,0.6175771971496437,0.6575971463266546
0.29,0.7329545454545454,0.5286885245901639,0.6142857142857143,0.6555479659987857
0.295,0.7369942196531792,0.5225409836065574,0.6115107913669064,0.6559464177292047
0.3,0.7345132743362832,0.5102459016393442,0.6021765417170496,0.6509562841530054
0.30499999999999994,0.7380952380952381,0.5081967213114754,0.6019417475728155,0.6522465088038858
0.30999999999999994,0.7373134328358208,0.5061475409836066,0.6002430133657352,0.6512219186399515
0.31499999999999995,0.7363636363636363,0.4979508196721312,0.5941320293398533,0.6482809653916212
0.31999999999999995,0.7360248447204969,0.48565573770491804,0.5851851851851851,0.6444482392228293
0.32499999999999996,0.7366771159874608,0.48155737704918034,0.5824039653035935,0.643556466302368
0.32999999999999996,0.7435897435897436,0.47540983606557374,0.58,0.6451123254401943
0.33499999999999996,0.7451612903225806,0.4733606557377049,0.5789473684210527,0.6452451426836673
0.33999999999999997,0.7443365695792881,0.4713114754098361,0.5771643663739021,0.6442205525197329
0.3449999999999999,0.7450980392156863,0.4672131147540984,0.5743073047858942,0.6433287795992714
0.3499999999999999,0.7433333333333333,0.4569672131147541,0.565989847715736,0.6393632361870067
0.3549999999999999,0.7457627118644068,0.45081967213114754,0.561941251596424,0.6386042805100182
0.35999999999999993,0.75,0.4426229508196721,0.5567010309278351,0.6379781420765027
0.36499999999999994,0.7535211267605634,0.4385245901639344,0.5544041450777202,0.6382437765634487
0.36999999999999994,0.7561837455830389,0.4385245901639344,0.5551232166018158,0.6394011839708561
0.37499999999999994,0.7562724014336918,0.4323770491803279,0.5501955671447197,0.6374848208864602
0.37999999999999995,0.7553956834532374,0.430327868852459,0.5483028720626631,0.6364602307225258
0.38499999999999995,0.76,0.42827868852459017,0.5478374836173001,0.6377504553734061
0.38999999999999996,0.7582417582417582,0.42418032786885246,0.5440210249671484,0.6357012750455373
0.39499999999999996,0.7528089887640449,0.41188524590163933,0.5324503311258278,0.6295537340619308
0.3999999999999999,0.75,0.4057377049180328,0.526595744680851,0.6264799635701275
