Model,Threshold,Accuracy,Precision,Recall,F1-score,ROC-AUC
Logistic Regression,default,0.7359307359307359,0.8444444444444444,0.6178861788617886,0.7136150234741784,0.8330322192110811
Logistic Regression,0.35,0.7445887445887446,0.7077922077922078,0.8861788617886179,0.7870036101083032,0.8330322192110811
Random Forest,default,0.7229437229437229,0.7757009345794392,0.6747967479674797,0.7217391304347827,0.7902740138512496
KNN,default,0.6060606060606061,0.6568627450980392,0.5447154471544715,0.5955555555555555,0.6631662149954832
SVM,default,0.6926406926406926,0.7280701754385965,0.6747967479674797,0.70042194092827,0.7708521529659742
Gradient Boosting,default,0.6666666666666666,0.7053571428571429,0.6422764227642277,0.6723404255319149,0.7402890695573623
HistGradientBoosting,default,0.7272727272727273,0.7777777777777778,0.6829268292682927,0.7272727272727273,0.8043510990665463
