Model,Accuracy,Precision,Recall,F1-score,Test ROC-AUC,CV Mean ROC-AUC,CV Std ROC-AUC
Logistic Regression,0.7359307359307359,0.8444444444444444,0.6178861788617886,0.7136150234741784,0.8330322192110811,0.8029858426999571,0.018727519476131035
SVM,0.6883116883116883,0.7524752475247525,0.6178861788617886,0.6785714285714286,0.77612165010539,0.7728680132885117,0.019390700028373165
HistGradientBoosting,0.7272727272727273,0.7777777777777778,0.6829268292682927,0.7272727272727273,0.8043510990665463,0.7684727343630449,0.030820839217593873
Gradient Boosting,0.6666666666666666,0.7053571428571429,0.6422764227642277,0.6723404255319149,0.7402890695573623,0.763436107038666,0.030880259107370637
Random Forest,0.7229437229437229,0.7757009345794392,0.6747967479674797,0.7217391304347827,0.7902740138512496,0.7532478366678019,0.030316875384765102
KNN,0.6060606060606061,0.6568627450980392,0.5447154471544715,0.5955555555555555,0.6631662149954832,0.6581265024854256,0.042035640760297886
