Threshold,Accuracy,Precision,Recall,F1-score
0.1,0.5454545454545454,0.5394736842105263,1.0,0.7008547008547008
0.2,0.5497835497835498,0.5418502202643172,1.0,0.7028571428571428
0.3,0.670995670995671,0.6256684491978609,0.9512195121951219,0.7548387096774194
0.35,0.7445887445887446,0.7077922077922078,0.8861788617886179,0.7870036101083032
0.4,0.7229437229437229,0.7153284671532847,0.7967479674796748,0.7538461538461538
0.5,0.7359307359307359,0.8444444444444444,0.6178861788617886,0.7136150234741784
0.6,0.696969696969697,0.8955223880597015,0.4878048780487805,0.631578947368421
0.7,0.6753246753246753,0.9444444444444444,0.4146341463414634,0.576271186440678
